年度/Year,月份/Month,發電站名稱/Station Name,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kW-h),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day
2019,1,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,4580,2.09
2019,1,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,9662,2.02
2019,1,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,46081,2.82
2019,2,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,28241,1.55
2019,2,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,1800,1.6
2019,2,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,7126,2.77
2019,2,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,8725,2.69
2019,2,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3626,3.09
2019,2,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,175365,2.95
2019,2,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,581115,3.2
2019,2,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,3983,1.56
2019,2,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2513,1.5
2019,2,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,557631,4.3
2019,2,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,194639,4.27
2019,2,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6615,3.94
2019,2,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,157864,3.87
2019,2,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,4726,2.39
2019,2,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,10260,2.37
2019,2,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,34698,2.35
2019,3,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,45814,2.27
2019,3,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,2825,2.26
2019,3,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6529,2.29
2019,3,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,7655,2.13
2019,3,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3074,2.37
2019,3,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,183238,2.78
2019,3,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,559409,2.78
2019,3,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,3412,1.21
2019,3,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2360,1.27
2019,3,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,506985,3.53
2019,3,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,186120,3.69
2019,3,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6340,3.41
2019,3,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,179028,3.96
2019,3,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,6300,2.88
2019,3,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,12007,2.51
2019,3,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,44929,2.74
2019,4,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,62486,3.2
2019,4,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3400,2.82
2019,4,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,7852,2.85
2019,4,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9623,2.77
2019,4,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3802,3.02
2019,4,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,206878,3.25
2019,4,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,624497,3.21
2019,4,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,3062,1.12
2019,4,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2863,1.59
2019,4,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,617396,4.44
2019,4,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,210045,4.3
2019,4,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7121,3.95
2019,4,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,184397,4.22
2019,4,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,7504,3.54
2019,4,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,19531,7.18
2019,4,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,48798,3.08
2019,4,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,15573,3.2
2019,4,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,23582,3.45
2019,4,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,22281,3.75
2019,4,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,31841,4.11
2019,4,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,240901,4.46
2019,4,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,48264,4.24
2019,4,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,61203,4.1
2019,4,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,72387,3.4
2019,4,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,93435,3.43
2019,5,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,57139,2.83
2019,5,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3026,2.43
2019,5,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6595,2.32
2019,5,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,6508,1.81
2019,5,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,2834,2.18
2019,5,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,191837,2.96
2019,5,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,591014,2.93
2019,5,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,2335,0.83
2019,5,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2196,1.18
2019,5,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,507230,3.53
2019,5,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,185461,3.65
2019,5,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5983,3.22
2019,5,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,150885,3.46
2019,5,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,6733,3.08
2019,5,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,36425,3.255
2019,5,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,45647,2.79
2019,5,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,12947,2.58
2019,5,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,21356,3.02
2019,5,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,19006,3.1
2019,5,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,27057,3.38
2019,5,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,205554,3.68
2019,5,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,42486,3.61
2019,5,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,29747,1.93
2019,5,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,70440,3.2
2019,5,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,89754,3.19
2019,5,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,6507157,2.1
2019,6,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,48022,2.46
2019,6,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3850,3.19
2019,6,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,8030,2.92
2019,6,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,8695,2.5
2019,6,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3438,2.74
2019,6,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,221705,3.53
2019,6,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,680557,3.49
2019,6,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,2700,0.99
2019,6,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2342,1.3
2019,6,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,576892,4.15
2019,6,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,193940,3.96
2019,6,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6279,3.49
2019,6,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,169326,4.09
2019,6,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,7979,3.77
2019,6,澎湖七美光電站/Penghu Qimei Photovoltaics Station,177.14,38758,7.15
2019,6,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,48875,3.09
2019,6,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,16896,3.48
2019,6,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,25737,3.76
2019,6,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,20953,3.53
2019,6,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,30159,3.9
2019,6,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,189176,3.5
2019,6,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,45697,4.01
2019,6,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,55200,3.7
2019,6,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,83227,3.91
2019,6,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,94775,3.48
2019,6,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,12693699,4.23
2019,7,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,42948,2.13
2019,7,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,4860,3.9
2019,7,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,8484,2.98
2019,7,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,10240,2.85
2019,7,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4139,3.19
2019,7,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,247449,3.8
2019,7,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,734462,3.65
2019,7,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,3996,1.41
2019,7,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2812,1.51
2019,7,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,514325,3.58
2019,7,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,181511,3.59
2019,7,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5918,3.18
2019,7,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,144342,3.19
2019,7,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,8011,3.66
2019,7,澎湖七美光電站/Penghu Qimei Photovoltaics Station,177.14,41977,7.46
2019,7,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,56144,3.43
2019,7,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,21908,4.36
2019,7,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,32694,4.63
2019,7,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,25749,4.2
2019,7,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,34012,4.25
2019,7,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,207261,3.72
2019,7,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,43298,3.68
2019,7,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,53930,3.5
2019,7,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,109170,4.96
2019,7,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,125556,4.46
2019,7,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,13958203,4.5
2019,8,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,43600,2.16
2019,8,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,4484,3.59
2019,8,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6759,2.38
2019,8,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,7330,2.04
2019,8,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3234,2.49
2019,8,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,212556,3.27
2019,8,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,604093,2.97
2019,8,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,4973,1.76
2019,8,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2013,1.08
2019,8,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,450332,3.13
2019,8,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,157347,3.13
2019,8,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5152,2.77
2019,8,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,127892,2.99
2019,8,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,7211,3.29
2019,8,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,38137,6.81
2019,8,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,16670,1.02
2019,8,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,20161,4.01
2019,8,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,29258,4.14
2019,8,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,20512,3.34
2019,8,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,28642,3.58
2019,8,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,191603,3.43
2019,8,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,36092,3.07
2019,8,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,45471,2.95
2019,8,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,91811,4.17
2019,8,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,128091,4.55
2019,8,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,11123701,3.59
2019,9,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,36029,1.84
2019,9,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3819,3.16
2019,9,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,8062,2.93
2019,9,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9098,2.62
2019,9,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4105,3.27
2019,9,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,272766,4.28
2019,9,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,637101,3.27
2019,9,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,4759,1.74
2019,9,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2302,1.28
2019,9,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,541100,3.89
2019,9,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,207925,4.26
2019,9,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6948,3.86
2019,9,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,143754,3.29
2019,9,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,7921,3.74
2019,9,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,43629,4.02
2019,9,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,6386,0.4
2019,9,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,18334,3.77
2019,9,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,25482,3.73
2019,9,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,25003,4.21
2019,9,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,34704,4.48
2019,9,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,253389,4.69
2019,9,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,48130,4.22
2019,9,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,60180,4.03
2019,9,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,82060,3.85
2019,9,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,105575,3.88
2019,9,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,14547382,4.85
2019,10,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,38009,1.88
2019,10,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,4216,3.38
2019,10,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,7587,2.67
2019,10,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9736,2.71
2019,10,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4559,3.51
2019,10,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,261576,3.93
2019,10,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,670560,3.24
2019,10,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,6991,2.47
2019,10,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2153,1.16
2019,10,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,564265,3.93
2019,10,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,206358,4.15
2019,10,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7133,3.83
2019,10,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,163001,3.73
2019,10,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,7828,3.58
2019,10,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,44238,3.965
2019,10,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,57692,3.52
2019,10,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,21781,4.34
2019,10,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,29565,4.18
2019,10,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,25323,4.13
2019,10,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,33822,4.23
2019,10,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,263307,4.72
2019,10,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,47607,4.04
2019,10,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,61366,3.98
2019,10,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,83690,3.8
2019,10,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,113870,4.05
2019,10,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,12744188,4.11
2019,11,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,29072,1.49
2019,11,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3160,2.62
2019,11,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,5976,2.17
2019,11,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,8661,2.49
2019,11,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4098,3.26
2019,11,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,183962,2.89
2019,11,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,553262,2.84
2019,11,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8914,3.26
2019,11,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,1463,0.81
2019,11,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,461110,3.31
2019,11,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,169196,3.47
2019,11,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5779,3.21
2019,11,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,128535,2.94
2019,11,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,5027,2.37
2019,11,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,30887,2.875
2019,11,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,54954,3.47
2019,11,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,18899,3.89
2019,11,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,22621,3.31
2019,11,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,20934,3.52
2019,11,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,27289,3.53
2019,11,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,212869,3.94
2019,11,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,38453,3.38
2019,11,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,52985,3.55
2019,11,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,64551,3.03
2019,11,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,76296,2.8
2019,11,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,10359086,3.45
2019,12,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,19671,0.97
2019,12,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,1300,1.04
2019,12,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,5476,1.92
2019,12,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,7278,2.03
2019,12,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3644,2.81
2019,12,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,176589,2.18
2019,12,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,510390,2.54
2019,12,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8033,2.84
2019,12,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,1405,0.76
2019,12,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,442140,3.08
2019,12,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,152586,3.02
2019,12,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5382,2.89
2019,12,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,141118,3.12
2019,12,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,4943,2.26
2019,12,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,29957,2.725
2019,12,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,49709,3.04
2019,12,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,12988,2.59
2019,12,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,16040,2.27
2019,12,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,18680,3.04
2019,12,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,26025,3.25
2019,12,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,193997,3.48
2019,12,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.76,34794,2.96
2019,12,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.76,50429,3.27
2019,12,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,47843,2.17
2019,12,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,54596,1.94
2019,12,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,9696492,3.13
2020,1,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,25547,1.265077483
2020,1,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,1774,1.421759166
2020,1,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6077,2.135427648
2020,1,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,7729,2.153044738
2020,1,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4007,3.084918008
2020,1,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,209674,3.185845495
2020,1,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,536828,2.669934082
2020,1,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8599,3.044028497
2020,1,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,1632,0.877419355
2020,1,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,542400,3.773458893
2020,1,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,194408,3.852932637
2020,1,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6630,3.562734762
2020,1,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,157151,3.47637364
2020,1,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,5887,2.689466447
2020,1,澎湖七美光電站/Penghu Qimei Photovoltaics Station,354.28,33125,2.956006271
2020,1,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,48614,2.970063539
2020,1,龍潭E/S光電站/Longtan E/S Photovoltaics Station,162,13885,2.764834727
2020,1,竹工E/S光電站/Zhugong E/S Photovoltaics Station,228,18330,2.593378608
2020,1,中科E/S光電站/Zhongke E/S Photovoltaics Station,198,21433,3.491854024
2020,1,彰林E/S光電站/Changlin E/S Photovoltaics Station,258,29705,3.714053513
2020,1,台南七股光電站/Tainan Qigu Photovoltaics Station,1799.5,244509,4.383099248
2020,1,高雄E/S光電站/Kaohsiung E/S Photovoltaics Station,379.96,41816,3.550119028
2020,1,燕巢倉庫光電站/Yanchao Warehouse Photovoltaics Station,497.96,59488,3.85365841
2020,1,大潭電廠GIS廠房光電站/Datang Power Plant GIS Photovoltaics Station,710.04,53619,2.435982707
2020,1,北部儲運中心光電站/Northern Storage and Transportation Center Photovoltaics Station,907.68,64205,2.281783263
2020,1,彰化彰濱光電站/Changhua Changbin Photovoltaics Station,99999.1,11497383,3.708866606
2020,2,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,22881,1.21
2020,2,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3040,2.6
2020,2,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6446,2.42
2020,2,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,7836,2.33
2020,2,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3857,3.17
2020,2,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,208423,3.39
2020,2,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,603627,3.21
2020,2,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8392,3.18
2020,2,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,1502,0.86
2020,2,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,531587,3.95
2020,2,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,189730,4.02
2020,2,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6481,3.72
